City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Mbaiki,CF,69.49,overcast clouds,3.8678,17.9892,Motel MBM
571,Phonhong,LA,85.82,broken clouds,18.5007,102.4166,Manyvong Guest House
572,San Ignacio,BZ,71.74,clear sky,17.1561,-89.0714,Rainforest Haven Inn
573,Izumo,JP,69.75,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
575,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
576,Mayumba,GA,76.48,moderate rain,-3.432,10.6554,LIKWALE LODGE
577,Minas,UY,61.27,overcast clouds,-34.3759,-55.2377,Hotel Minas
578,Semnan,IR,60.12,clear sky,35.5729,53.3971,Semnan Tourist Hotel
579,Nichinan,JP,74.35,overcast clouds,31.6,131.3667,Guest House Aki
580,Soc Trang,VN,85.96,overcast clouds,9.6033,105.98,Phu Quy Hotel
581,Kudahuvadhoo,MV,83.25,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
582,Christchurch,NZ,63.32,broken clouds,-43.5333,172.6333,The George
583,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
585,Feijo,BR,73.83,broken clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
586,Mbalmayo,CM,67.96,light rain,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
589,Beruwala,LK,80.69,overcast clouds,6.4788,79.9828,The Palms Hotel
590,Los Llanos De Aridane,ES,70.12,clear sky,28.6585,-17.9182,Valle Aridane
593,Maldonado,UY,61.99,overcast clouds,-34.6667,-54.9167,La Cimarrona
595,Mana,GF,77.7,scattered clouds,5.6592,-53.7767,LE SAMANA
596,Marsa Matruh,EG,64.6,clear sky,31.3525,27.2453,Beau Site
598,Santa Marta,CO,78.85,broken clouds,11.2408,-74.199,Casa de Isabella
600,Lynn Haven,US,60.96,clear sky,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
601,Suleja,NG,70.21,clear sky,9.1758,7.1808,Capy Motel
602,Tonota,BW,65.89,clear sky,-21.4833,27.4833,Semotswane Baraka Lodge
608,Ojinaga,MX,76.15,clear sky,29.5667,-104.4167,Suites Las Palmas
613,Odweyne,SO,70.14,broken clouds,9.4092,45.064,Eng Hiirey House
614,Road Town,VG,79.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
620,Mumford,GH,78.58,overcast clouds,5.2618,-0.759,Spanish Villa
621,Nouadhibou,MR,66.18,overcast clouds,20.931,-17.0347,El Medina
622,Roebourne,AU,81.16,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
623,Biloela,AU,84.83,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
624,Vao,NC,71.71,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
625,Alice Springs,AU,83.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
626,Pedernales,DO,79.25,clear sky,18.0384,-71.744,Hotel Costa Marina
627,Port-Gentil,GA,77.61,moderate rain,-0.7193,8.7815,Fengshui Residence
628,Sandakan,MY,82.08,thunderstorm,5.8402,118.1179,Hotel Sandakan
629,Cabangahan,PH,85.48,broken clouds,9.0781,122.9469,Centralle District Beach Resort
632,Pathein,MM,84.13,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
635,Valle De Allende,MX,64.53,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
639,Santa Lucia,ES,61.11,scattered clouds,27.9117,-15.5407,Las Tirajanas
640,Mocuba,MZ,76.01,overcast clouds,-16.8392,36.9856,Phama Lodge
641,Sirpur,IN,73.67,overcast clouds,19.4833,79.6,Sathyamma Hotel
647,Eldorado,BR,69.08,clear sky,-23.7869,-54.2836,Villa Verde Hotel
650,Laguna,US,62.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
651,Colares,PT,67.68,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
657,Tortoli,IT,61.99,few clouds,39.9256,9.6572,Hotel La Bitta
658,Imbituba,BR,69.69,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
