City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Petropavlovsk-Kamchatskiy,RU,2021-10-31 23:49:08,53.0452,158.6483,32.59,47,40,4.47
190,Puro,PH,2021-10-31 23:49:08,12.4841,123.3827,82.27,74,19,13.47
191,Hualmay,PE,2021-10-31 23:49:09,-11.0964,-77.6139,64.49,82,10,9.82
192,Chapleau,CA,2021-10-31 23:45:34,47.8405,-83.4034,35.69,93,75,6.91
193,Dudinka,RU,2021-10-31 23:49:09,69.4058,86.1778,-11.49,100,95,5.37
194,Delta Del Tigre,UY,2021-10-31 23:49:10,-34.7633,-56.3853,62.71,89,99,16.24
195,Faanui,PF,2021-10-31 23:49:10,-16.4833,-151.75,78.82,73,95,16.04
196,Pio Ix,BR,2021-10-31 23:49:10,-6.8375,-40.5792,81.12,52,99,4.79
197,Tres Arroyos,AR,2021-10-31 23:48:37,-38.3739,-60.2798,51.12,75,97,8.41
198,Georgetown,MY,2021-10-31 23:44:45,5.4112,100.3354,77.9,93,20,3.0
199,Kutum,SD,2021-10-31 23:49:11,14.2,24.6667,75.45,22,57,12.84
200,Moree,AU,2021-10-31 23:49:11,-29.4667,149.85,69.82,46,96,13.8
201,Moose Factory,CA,2021-10-31 23:47:20,51.2585,-80.6094,39.2,100,90,4.61
202,Ruidoso,US,2021-10-31 23:49:12,33.3317,-105.673,66.06,42,1,9.22
203,Tinyahuarco,PE,2021-10-31 23:49:12,-10.75,-76.3,40.51,89,94,5.08
204,Astoria,US,2021-10-31 23:44:21,46.1879,-123.8313,62.85,40,1,1.01
205,Omboue,GA,2021-10-31 23:49:12,-1.5746,9.2618,76.23,91,100,6.64
206,Srandakan,ID,2021-10-31 23:49:12,-7.9386,110.2506,78.22,88,100,2.39
207,Grand Gaube,MU,2021-10-31 23:49:13,-20.0064,57.6608,70.38,82,6,4.0
208,Pedasi,PA,2021-10-31 23:49:13,7.5333,-80.0333,77.07,84,82,3.78
209,Nhulunbuy,AU,2021-10-31 23:49:13,-12.2333,136.7667,88.41,66,75,10.36
210,Byron Bay,AU,2021-10-31 23:49:14,-28.65,153.6167,72.05,52,100,7.27
211,Shelburne,CA,2021-10-31 23:45:34,44.0787,-80.2041,48.65,92,16,14.65
212,Kilindoni,TZ,2021-10-31 23:49:14,-7.9139,39.6668,79.75,77,10,13.0
213,Maceio,BR,2021-10-31 23:46:06,-9.6658,-35.7353,78.24,88,20,6.91
214,Jumla,NP,2021-10-31 23:49:15,29.2747,82.1838,41.09,58,0,3.94
215,Indian Head,US,2021-10-31 23:49:15,38.6001,-77.1622,61.29,69,1,4.61
216,Luderitz,NA,2021-10-31 23:49:15,-26.6481,15.1594,60.96,76,71,6.44
217,Menongue,AO,2021-10-31 23:49:16,-14.6585,17.691,64.51,84,96,3.22
